Name,Market Cap (GBP$ Billion)
 Industrial and Commercial Bank of China Limited,4867.988465969999
 China Construction Bank,4187.38819254
 Agricultural Bank of China,4023.3994615499996
 Bank of China,3698.5872959699996
 JPMorgan Chase,3291.53017893
  Mitsubishi UFJ Financial Group,2793.23339316
 Bank of America,2786.7797054999996
 HSBC,2596.98501636
 BNP Paribas,2554.9481216699996
 Crédit Agricole,2351.4195631499997
 Citigroup Inc.,2014.7199510899998
 SMBC Group,1914.07231806
 Japan Post Bank,1757.60116602
 Postal Savings Bank of China,1742.2582709699998
 Mizuho Financial Group,1721.4552396299998
 Wells Fargo,1712.83859943
 Barclays,1648.0643256
 Bank of Communications,1614.63527862
 Banco Santander,1595.7490101
 Groupe BPCE,1515.9307858799998
 Société Générale,1464.36283203
 Deutsche Bank,1323.9203892599999
 Toronto-Dominion Bank,1306.9157136
 Goldman Sachs,1287.21174351
 China Merchants Bank,1280.13378906
 Royal Bank of Canada,1210.5412307099998
 Industrial Bank (China),1190.72295825
 China CITIC Bank,1113.19957392
 Shanghai Pudong Development Bank,1100.27461362
 Crédit Mutuel,1098.49853064
 Intesa Sanpaolo,1068.93817926
 Lloyds Banking Group,1055.45929209
 Morgan Stanley,1044.67090686
 UBS,982.27939782
 China Minsheng Bank,962.3204455199999
 ING Group,951.2331156299998
 NatWest Group,931.0015961399998
 UniCredit,916.6170824999999
 Scotiabank,860.32756152
 China Everbright Bank,816.89266092
 Norinchukin Bank,815.7408447299999
 Bank of Montreal,798.90322638
 La Banque postale,772.26198168
 Commonwealth Bank,735.0961264499999
 Credit Suisse,729.00293088
 Standard Chartered,727.85990718
 Banco Bilbao Vizcaya Argentaria,719.41032429
 Ping An Bank,681.1542003
 CaixaBank,679.99359162
 Rabobank,639.53934513
 DZ Bank,627.2386516199999
 Australia and New Zealand Banking Group,623.39633349
 State Bank of India,610.9901301
 Westpac,596.02531212
 Canadian Imperial Bank of Commerce,595.20761055
 National Australia Bank,589.7123043
 Resona Holdings,582.34419768
 Nordea,570.3160713599999
 Danske Bank,529.3166904899999
 U.S. Bancorp,504.0558667199999
 KB Financial Group Inc,490.04943015
 PNC Financial Services,489.90875031
 Sumitomo Mitsui Trust Holdings,486.98964363
 Huaxia Bank,484.24638675
 Sberbank of Russia,482.33841642
 Shinhan Bank,478.43455085999994
 Truist Financial Corp,475.88472876
 Commerzbank,471.84897584999993
 DBS Bank,447.44102360999995
 China Guangfa Bank,433.78628664
 Bank of Beijing,417.08055564
 ABN AMRO,399.09112109999995
 The Bank of New York Mellon,390.77342555999996
 Capital One,380.16968261999995
 Nonghyup Bank,374.19078942
 Hana Financial Group,370.87602068999996
 Bank of Shanghai,361.83734096999996
 OCBC Bank,353.59877784
 Bank of Jiangsu,352.35903675
 KBC Bank,345.69432933
 Nomura Holdings,345.28987478999994
 Nationwide Building Society,338.8625646
 Woori Bank,330.08765958
 Itaú Unibanco,326.53549361999995
 Handelsbanken,325.43643237
 SEB Group,321.30396207
 China Zheshang Bank,316.50326253000003
 Erste Group,308.58122904
 DNB ASA,301.55602953
 Banco do Brasil,299.72719161
 United Overseas Bank,299.56013429999996
 Industrial Bank of Korea,293.83622331
 Landesbank Baden-Württemberg,282.28289144999997
 State Street Corporation,276.62932037999997
 Desjardins Group,275.89075121999997
 Raiffeisen Gruppe,274.38723543
 Swedbank,267.4675458
 Bayerische Landesbank,266.53554185999997
 Banco Bradesco,264.41655177
 Qatar National Bank,263.98571976
